episode,agent,shape,reward_type,steps,success,outcome
1,sac,square,old,124,1,success
2,sac,square,old,108,0,collision_box
3,sac,square,old,123,1,success
4,sac,square,old,160,1,success
5,sac,square,old,98,1,success
6,sac,square,old,97,1,success
7,sac,square,old,149,0,collision_box
8,sac,square,old,105,1,success
9,sac,square,old,123,0,collision_box
10,sac,square,old,125,1,success
11,sac,square,old,113,1,success
12,sac,square,old,112,1,success
13,sac,square,old,98,1,success
14,sac,square,old,100,1,success
15,sac,square,old,123,0,collision_box
16,sac,square,old,119,1,success
17,sac,square,old,103,1,success
18,sac,square,old,112,1,success
19,sac,square,old,126,0,collision_box
20,sac,square,old,149,0,collision_box
21,sac,square,old,129,0,collision_box
22,sac,square,old,97,1,success
23,sac,square,old,98,1,success
24,sac,square,old,104,0,collision_box
25,sac,square,old,116,1,success
26,sac,square,old,137,0,collision_box
27,sac,square,old,97,1,success
28,sac,square,old,132,1,success
29,sac,square,old,97,1,success
30,sac,square,old,112,1,success
31,sac,square,old,97,1,success
32,sac,square,old,121,1,success
33,sac,square,old,139,0,collision_box
34,sac,square,old,122,0,collision_box
35,sac,square,old,97,1,success
36,sac,square,old,137,1,success
37,sac,square,old,98,1,success
38,sac,square,old,115,1,success
39,sac,square,old,122,0,collision_box
40,sac,square,old,104,0,collision_box
41,sac,square,old,97,1,success
42,sac,square,old,146,0,collision_box
43,sac,square,old,123,1,success
44,sac,square,old,109,0,collision_box
45,sac,square,old,97,1,success
46,sac,square,old,97,1,success
47,sac,square,old,130,0,collision_box
48,sac,square,old,118,1,success
49,sac,square,old,106,1,success
50,sac,square,old,97,1,success
51,sac,square,old,148,0,collision_box
52,sac,square,old,122,0,collision_box
53,sac,square,old,114,1,success
54,sac,square,old,115,1,success
55,sac,square,old,114,1,success
56,sac,square,old,98,1,success
57,sac,square,old,127,1,success
58,sac,square,old,133,1,success
59,sac,square,old,123,1,success
60,sac,square,old,98,1,success
61,sac,square,old,132,1,success
62,sac,square,old,138,1,success
63,sac,square,old,103,1,success
64,sac,square,old,140,0,collision_box
65,sac,square,old,102,1,success
66,sac,square,old,98,1,success
67,sac,square,old,121,0,collision_box
68,sac,square,old,130,1,success
69,sac,square,old,162,1,success
70,sac,square,old,130,0,collision_box
71,sac,square,old,111,1,success
72,sac,square,old,97,1,success
73,sac,square,old,135,0,collision_box
74,sac,square,old,97,1,success
75,sac,square,old,129,1,success
76,sac,square,old,97,1,success
77,sac,square,old,97,1,success
78,sac,square,old,98,1,success
79,sac,square,old,111,1,success
80,sac,square,old,102,0,collision_box
81,sac,square,old,106,1,success
82,sac,square,old,97,1,success
83,sac,square,old,121,0,collision_box
84,sac,square,old,109,1,success
85,sac,square,old,139,1,success
86,sac,square,old,97,1,success
87,sac,square,old,98,1,success
88,sac,square,old,144,0,collision_box
89,sac,square,old,133,1,success
90,sac,square,old,116,1,success
91,sac,square,old,97,1,success
92,sac,square,old,114,1,success
93,sac,square,old,127,0,collision_box
94,sac,square,old,141,0,collision_box
95,sac,square,old,97,1,success
96,sac,square,old,98,1,success
97,sac,square,old,124,1,success
98,sac,square,old,112,1,success
99,sac,square,old,118,1,success
100,sac,square,old,98,1,success
