episode,agent,shape,reward_type,steps,success,outcome
1,sac,square,old,166,0,collision_table
2,sac,square,old,136,1,success
3,sac,square,old,97,1,success
4,sac,square,old,154,0,collision_box
5,sac,square,old,97,1,success
6,sac,square,old,100,1,success
7,sac,square,old,109,0,collision_box
8,sac,square,old,121,0,collision_box
9,sac,square,old,97,1,success
10,sac,square,old,97,1,success
11,sac,square,old,97,1,success
12,sac,square,old,96,1,success
13,sac,square,old,127,0,collision_box
14,sac,square,old,114,1,success
15,sac,square,old,122,0,collision_box
16,sac,square,old,97,1,success
17,sac,square,old,96,1,success
18,sac,square,old,109,0,collision_box
19,sac,square,old,97,1,success
20,sac,square,old,110,1,success
21,sac,square,old,97,1,success
22,sac,square,old,119,0,collision_box
23,sac,square,old,121,0,collision_box
24,sac,square,old,107,0,collision_box
25,sac,square,old,118,1,success
26,sac,square,old,108,1,success
27,sac,square,old,141,1,success
28,sac,square,old,96,1,success
29,sac,square,old,134,0,collision_box
30,sac,square,old,96,1,success
31,sac,square,old,128,0,collision_box
32,sac,square,old,123,0,collision_box
33,sac,square,old,96,1,success
34,sac,square,old,97,1,success
35,sac,square,old,119,1,success
36,sac,square,old,129,1,success
37,sac,square,old,101,1,success
38,sac,square,old,97,1,success
39,sac,square,old,101,0,collision_box
40,sac,square,old,129,0,collision_box
41,sac,square,old,97,1,success
42,sac,square,old,98,1,success
43,sac,square,old,97,1,success
44,sac,square,old,111,1,success
45,sac,square,old,96,1,success
46,sac,square,old,118,0,collision_box
47,sac,square,old,97,1,success
48,sac,square,old,148,0,collision_box
49,sac,square,old,97,1,success
50,sac,square,old,97,1,success
51,sac,square,old,114,1,success
52,sac,square,old,102,0,collision_box
53,sac,square,old,101,1,success
54,sac,square,old,97,1,success
55,sac,square,old,104,1,success
56,sac,square,old,97,1,success
57,sac,square,old,97,1,success
58,sac,square,old,97,1,success
59,sac,square,old,97,1,success
60,sac,square,old,97,1,success
61,sac,square,old,96,1,success
62,sac,square,old,116,1,success
63,sac,square,old,97,1,success
64,sac,square,old,109,0,collision_box
65,sac,square,old,97,1,success
66,sac,square,old,97,1,success
67,sac,square,old,120,0,collision_box
68,sac,square,old,96,1,success
69,sac,square,old,96,1,success
70,sac,square,old,96,1,success
71,sac,square,old,96,1,success
72,sac,square,old,96,1,success
73,sac,square,old,127,0,collision_box
74,sac,square,old,111,1,success
75,sac,square,old,104,1,success
76,sac,square,old,125,1,success
77,sac,square,old,96,1,success
78,sac,square,old,97,1,success
79,sac,square,old,97,1,success
80,sac,square,old,106,1,success
81,sac,square,old,114,0,collision_box
82,sac,square,old,110,0,collision_box
83,sac,square,old,115,1,success
84,sac,square,old,135,1,success
85,sac,square,old,96,1,success
86,sac,square,old,97,1,success
87,sac,square,old,96,1,success
88,sac,square,old,106,1,success
89,sac,square,old,119,1,success
90,sac,square,old,96,1,success
91,sac,square,old,97,1,success
92,sac,square,old,97,1,success
93,sac,square,old,120,0,collision_box
94,sac,square,old,97,1,success
95,sac,square,old,107,1,success
96,sac,square,old,129,0,collision_box
97,sac,square,old,96,1,success
98,sac,square,old,123,1,success
99,sac,square,old,97,1,success
100,sac,square,old,97,1,success
